Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
Zenoti,2.00 ,12/15/2020,Internet software ,Bellevue,United States,North America,2010,0.33 ,"Norwest Venture Partners, Accel, Tiger Global Management"
Zeta,2.00 ,5/24/2021,Fintech,San Francisco,United States,North America,2015,0.34 ,"Sodexo Ventures, SoftBank Group"
Loom,2.00 ,5/20/2021,Internet software ,San Francisco,United States,North America,2016,0.20 ,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
Mobile Premier League,2.00 ,9/15/2021,Internet software ,Bengaluru,India,Asia,2018,0.38 ,"Sequoia Capital India, RTP Global, Go-Ventures"
Uala,2.00 ,8/13/2021,Fintech,Buenos Aires,Argentina,South America,2017,0.54 ,"Soros Fund Management, Ribbit Capital, Monashees+"
Wenheyou,2.00 ,4/17/2021,Other,Hunan,China,Asia,2013,0.09 ,"Sequoia Capital China, Warburg Pincus, IDG Capital"
Star Charge,2.00 ,5/19/2021,Auto ,Changzhou,China,Asia,2014,0.13 ,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
ABL Space Systems,2.00 ,3/25/2021,Other,El Segundo,United States,North America,2017,0.42 ,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
Afiniti,2.00 ,4/14/2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,0.12 ,GAM Holding
ASAPP,2.00 ,5/19/2021,Artificial intelligence,New York,United States,North America,2014,0.38 ,"March Capital Partners, HOF Capital, Emergence Capital Partners"
BitSight Technologies,2.00 ,9/13/2021,Cybersecurity,Boston,United States,North America,2013,0.40 ,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
Cao Cao Mobility,2.00 ,1/17/2018,Auto ,Hangzhou,China,Asia,2015,0.74 ,"People Electrical Appliance Group China, Zhongrong International Trust"
Capitolis,2.00 ,3/22/2022,Fintech,New York,United States,North America,2017,0.28 ,"Sequoia Capital, Index Ventures, S Capital"
Carbon,2.00 ,8/20/2015,Hardware,Redwood City,United States,North America,2013,0.68 ,"Google Ventures, Sequoia Capital, Wakefield Group"
Clio,2.00 ,4/27/2021,Internet software ,Burnaby,Canada,North America,2008,0.39 ,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures"
Cresta,2.00 ,3/17/2022,Artificial Intelligence,San Francisco,United States,North America,2017,0.15 ,"Andreessen Horowitz, Greylock Partners, Sequoia Capital"
Exabeam,2.00 ,6/1/2021,Cybersecurity,Foster City,United States,North America,2013,0.39 ,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
ezCater,2.00 ,4/2/2019,Supply chain,Boston,United States,North America,2007,0.42 ,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
HomeLight,2.00 ,9/2/2021,Fintech,San Francisco,United States,North America,2012,0.22 ,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
HoneyBook,2.00 ,5/4/2021,Internet software ,San Francisco,United States,North America,2013,0.50 ,"Norwest Venture Partners, Hillsven Capital, Aleph"
Infinidat,2.00 ,4/29/2015,Hardware,Waltham,United States,North America,2011,0.33 ,"TPG Growth, Goldman Sachs"
Mercury,2.00 ,7/3/2021,Fintech,San Francisco,United States,North America,2019,0.15 ,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
Paxos,2.00 ,4/29/2021,Fintech,New York,United States,North America,2012,0.54 ,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
SafetyCulture,2.00 ,5/3/2021,Internet software ,Sydney,Australia,Oceania,2004,0.22 ,"Blackbird Ventures, IndexVentures, Tiger Global Management"
SmartHR,2.00 ,6/8/2021,Fintech,Tokyo,Japan,Asia,2013,0.19 ,"BEENEXT, World Innovation Lab, Light Street Capital"
Tonal,2.00 ,3/31/2021,E-commerce ,San Francisco,United States,North America,2015,0.45 ,"Mayfield Fund, Shasta Ventures, L Catterton"
Truepill,2.00 ,10/27/2021,Health,Hayward,United States,North America,2016,0.26 ,"Initialized Capital, Sound Ventures, TI Platform Management"
Unite Us,2.00 ,3/16/2021,Health,New York,United States,North America,2014,0.20 ,"Insight Partners, Sequoia Capital, Index Ventures"
Verkada,2.00 ,1/29/2020,Cybersecurity,San Mateo,United States,North America,2016,0.14 ,"next47, First Round Capital, Sequoia Capital"
Wayflyer,2.00 ,2/1/2022,Fintech,Dublin,Ireland,Europe,2019,0.24 ,"QED Investors, DST Global, Left Lane Capital"
Zhubajie,2.00 ,6/16/2015,Internet software ,Chongqing,China,Asia,2006,0.45 ,"Cybernaut Growth Fund, IDG Capital"
Transcarent,2.00 ,1/11/2022,Health,San Francisco,United States,North America,2020,0.30 ,"Alta Partners, General Catalyst, Jove Equity Partners"
Trader Interactive,2.00 ,5/12/2021,Other,Norfolk,United States,North America,2017,0.62 ,Carsales
Glossier,2.00 ,3/19/2019,Consumer ,New York,United States,North America,2014,0.27 ,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Hibob,2.00 ,10/12/2021,Internet software ,Tel Aviv,Israel,Asia,2015,0.27 ,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
Jobandtalent,2.00 ,12/1/2021,Internet software ,Madrid,Spain,Europe,2009,0.90 ,"Kibo Ventures, SoftBank Group, Atomico"
Optimism,2.00 ,3/17/2022,Internet software ,San Francisco,United States,North America,2019,0.18 ,"Paradigm, Huobi Ventures, Andreessen Horowitz"
solarisBank,2.00 ,7/13/2021,Fintech,Berlin,Germany,Europe,2016,0.40 ,"Yabeo Capital, SBI Investment, Vulcan Capital"
WEMAKEPRICE,2.00 ,9/9/2015,E-commerce ,Seoul,South Korea,Asia,2009,0.40 ,"IMM Investment, NXC"
Alan,2.00 ,4/19/2021,Fintech,Paris,France,Europe,2016,0.36 ,"Index Ventures, Temasek, Portag3 Ventures"
Biren Technology,2.00 ,8/18/2020,Hardware,Shanghai,China,Asia,2019,0.29 ,"V FUND, IDG Capital, Green Pine Capital Partners"
Voodoo,2.00 ,8/17/2020,Other,Paris,France,Europe,2013,0.52 ,"Tencent Holdings, Goldman Sachs"
Carsome,2.00 ,7/12/2021,E-commerce ,Selangor,Malaysia,Asia,2015,0.58 ,"Gobi Partners, 500 Startups, Ondine Capital"
CircleCI,2.00 ,5/11/2021,Internet software ,San Francisco,United States,North America,2011,0.32 ,"Threshold Ventures, Baseline Ventures, Harrison Metal"
DealShare,2.00 ,1/27/2022,E-commerce ,Bengaluru,India,Asia,2018,0.61 ,"Alpha Wave Global, Matrix Partners India, Tiger Global Management"
DispatchHealth,2.00 ,3/3/2021,Health,Denver,United States,North America,2013,0.40 ,"Alta Partners, Questa Capital, Echo Health Venturesl"
Dragos,2.00 ,10/28/2021,Cybersecurity,Hanover,United States,North America,2016,0.36 ,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
Gousto,2.00 ,11/3/2020,Supply chain,London,United Kingdom,Europe,2012,0.31 ,"MMC Ventures, BGF Ventures, Unilever Ventures"
H2O.ai,2.00 ,11/7/2021,Artificial intelligence,Mountain View,United States,North America,2011,0.25 ,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
Harness,2.00 ,1/14/2021,Artificial intelligence,San Francisco,United States,North America,2016,0.20 ,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Harry's,2.00 ,2/16/2018,Consumer ,New York,United States,North America,2013,0.79 ,"Thrive Capital, Tiger Global Management, Temasek"
PAX,2.00 ,10/22/2018,Consumer ,San Francisco,United States,North America,2007,0.54 ,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Productboard,2.00 ,2/2/2022,Internet software ,San Francisco,United States,North America,2014,0.26 ,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Reltio,2.00 ,11/4/2021,Data management ,Redwood City,United States,North America,2011,0.24 ,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
Spotter,2.00 ,2/16/2022,Fintech,Los Angeles,United States,North America,2019,0.23 ,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Vestiaire Collective,2.00 ,3/1/2021,E-commerce ,Paris,France,Europe,2009,0.66 ,"Eurazeo, IDInvest Partners, Balderton Capital"
Wave,2.00 ,9/7/2021,Fintech,Dakar,Senegal,Africa,2018,0.20 ,"Stripe, Founders Fund, Partech Partners"
ZenBusiness,2.00 ,11/9/2021,Fintech,Austin,United States,North America,2015,0.28 ,"Greycroft, Lerer Hippeau, Geekdom Fund"
Bowery Farming,2.00 ,5/25/2021,Other,New York,United States,North America,2015,0.50 ,"Temasek, Google Ventures, General Catalyst"
Greenlight,2.00 ,9/24/2020,Fintech,Atlanta,United States,North America,2014,0.56 ,"Relay Ventures, TTV Capital, Canapi Ventures"
KeepTruckin,2.00 ,4/23/2019,Supply chain,San Francisco,United States,North America,2013,0.42 ,"Google Ventures, Index Ventures, Scale Venture Partners"
Odoo,2.00 ,7/29/2021,Internet software ,Louvain-la-Neuve,Belgium,Europe,2005,0.23 ,"Summit Partners, Noshaq, Sofinnova Partners"
Skydance Media,2.00 ,2/11/2020,Other,Santa Monica,United States,North America,2010,0.28 ,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Uptake,2.00 ,10/27/2015,Artificial intelligence,Chicago,United States,North America,2014,0.22 ,"Revolution, New Enterprise Associates, Caterpillar"
MoMo,2.00 ,12/10/2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,0.43 ,"Goodwater Capital, Warburg Pincus, GS Growth"
Algolia,2.00 ,7/28/2021,Internet software ,San Francisco,United States,North America,2012,0.33 ,"Accel, Alven Capital, Storm Ventures"
Pattern,2.00 ,10/6/2021,Internet software ,Lehi,United States,North America,2013,0.28 ,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
Spinny,2.00 ,11/24/2021,E-commerce ,Gurugram,India,Asia,2015,0.51 ,"General Catalyst, Eleation Capital, Avenir Growth Capital"
Trulioo,2.00 ,6/7/2021,Cybersecurity,Vancouver,Canada,North America,2011,0.47 ,"Blumberg Capital, American Express Ventures, BDC Venture Capital"
Zume,2.00 ,11/1/2018,Consumer ,Mountain View,United States,North America,2015,0.42 ,"Softbank Group, AME Cloud Ventures, SignalFire"
AIWAYS,2.00 ,4/16/2018,Auto ,Shanghai,China,Asia,2017,0.79 ,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Bitso,2.00 ,5/5/2021,Fintech,Mexico City,Mexico,North America,2014,0.38 ,"Pantera Capital, QED Investors, Coinbase Ventures"
BloomReach,2.00 ,2/23/2022,Artificial intelligence,Mountain View,United States,North America,2009,0.42 ,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
Current,2.00 ,4/27/2021,Fintech,New York,United States,North America,2015,0.40 ,"Expa, QED Investors, Foundation Capital"
Dialpad,2.00 ,10/6/2020,Internet software ,San Francisco,United States,North America,2011,0.40 ,"Andreessen Horowitz, Google Ventures, Section 32"
G7 Networks,2.00 ,2/15/2022,Supply chain,Beijing,China,Asia,2006,0.71 ,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
Gympass,2.00 ,6/12/2019,Internet software ,New York,United States,North America,2012,0.53 ,"General Atlantic, SoftBank Group, Atomico"
MUSINSA,2.00 ,11/11/2019,E-commerce ,Seoul,South Korea,Asia,2001,0.29 ,Sequoia Capital
NuCom Group,2.00 ,2/22/2018,Other,Unterfoehring,Germany,Europe,2016,0.55 ,General Atlantic
Reify Health,2.00 ,8/10/2021,Health,Boston,United States,North America,2012,0.26 ,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Diamond Foundry,2.00 ,3/29/2021,Other,San Francisco,United States,North America,2012,0.35 ,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
FullStory,2.00 ,8/4/2021,Internet software ,Atlanta,United States,North America,2014,0.17 ,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Lightricks,2.00 ,7/31/2019,Artificial intelligence,Jerusalem,Israel,Asia,2013,0.31 ,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Opentrons,2.00 ,9/23/2021,Hardware,New York,United States,North America,2016,0.24 ,"SOSV, Khosla Ventures, Lerer Hippeau"
ZocDoc,2.00 ,8/20/2015,Health,New York,United States,North America,2007,0.37 ,"Founders Fund, Khosla Ventures, Goldman Sachs"
Accelerant,2.00 ,1/12/2022,Other,Colchester,United Kingdom,Europe,2018,0.19 ,"Deer Park Road, Altamont Capital Partners, Eldridge"
Huaqin Telecom Technology,2.00 ,10/8/2019,Mobile ,Shanghai,China,Asia,2005,0.30 ,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Addepar,2.00 ,6/15/2021,Fintech,Mountain View,United States,North America,2009,0.68 ,"8VC, D1 Capital Partners, Sway Ventures"
YITU Technology,2.00 ,3/8/2018,Artificial intelligence,Shanghai,China,Asia,2012,0.40 ,"Sequoia Capital China, Banyan Capital"
CloudWalk,2.00 ,9/8/2021,Fintech,Sao Paulo,Brazil,South America,2015,0.35 ,"Plug and Play Ventures, Valor Capital Group, DST Global"
Retool,2.00 ,12/22/2021,Internet software ,San Francisco,United States,North America,2000,0.10 ,Sequoia Capital
Volocopter,2.00 ,3/4/2022,Auto ,Bruchsal,Germany,Europe,2011,0.60 ,"btov Partners, Geely, Intel Capital"
Acorns,2.00 ,3/9/2022,Fintech,Irvine,United States,North America,2012,0.51 ,"e.ventures, Bain Capital Ventures, Greycroft"
Aledade,2.00 ,1/19/2021,Health,Bethesda,United States,North America,2014,0.30 ,"Venrock, CVF Capital Partners, ARCH Venture Partners"
CoinSwitch Kuber,2.00 ,10/6/2021,Fintech,Bangalore,India,Asia,2017,0.30 ,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
ConcertAI,2.00 ,3/29/2022,Artificial Intelligence,Boston,United States,North America,2018,0.30 ,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel"
Eightfold.ai,2.00 ,10/27/2020,Internet software ,Santa Clara,United States,North America,2016,0.40 ,"Foundation Capital, Institutional Venture Partners, General Catalyst"
FirstCry,2.00 ,2/7/2020,E-commerce ,Pune,India,Asia,2010,0.44 ,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
Forto,2.00 ,6/21/2021,Supply chain,Berlin,Germany,Europe,2016,0.59 ,"Cherry Ventures, Northzone Ventures, Global Founders Capital"
GoCardless,2.00 ,2/8/2022,Fintech,London,United Kingdom,Europe,2011,0.53 ,"Accel, Passion Capital, Balderton Capital"
InVision,2.00 ,11/1/2017,Internet software ,New York,United States,North America,2011,0.35 ,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Jeeves,2.00 ,3/14/2022,Fintech,Orlando,United States,North America,2019,0.27 ,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Medable,2.00 ,10/26/2021,Internet software ,Palo Alto,United States,North America,2013,0.51 ,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
Moveworks,2.00 ,6/30/2021,Artificial intelligence,Mountain View,United States,North America,2016,0.31 ,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
MX Technologies,2.00 ,1/13/2021,Fintech,Lehi,United States,North America,2010,0.45 ,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
PayFit,2.00 ,1/6/2022,Fintech,London,United Kingdom,Europe,2016,0.50 ,"Accel, frst, Kima Ventures"
ReCharge,2.00 ,5/6/2021,Fintech,Los Angeles,United States,North America,2017,0.28 ,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
Roofstock,2.00 ,3/10/2022,Fintech,Oakland,United States,North America,2015,0.37 ,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
Urban Company,2.00 ,4/27/2021,E-commerce ,Gurgaon,India,Asia,2014,0.37 ,"VY Capital, Accel, Elevation Capital"
Rokt,2.00 ,12/16/2021,Internet software ,New York,United States,North America,2012,0.49 ,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
Starling Bank,2.00 ,3/8/2021,Fintech,London,United Kingdom,Europe,2014,0.79 ,"JTC Group, Qatar Investment Authority, Fidelity Investment"
Ankorstore,2.00 ,1/10/2022,E-commerce ,Paris,France,Europe,2019,0.42 ,"Global Founders Capital, Aglae Ventures, Alven Capital"
4Paradigm,2.00 ,12/19/2018,Artificial intelligence,Beijing,China,Asia,2015,1.00 ,"Sequoia Capital China, China Construction Bank, Bank of China"
Advance Intelligence Group,2.00 ,9/23/2021,Artificial intelligence,Singapore,Singapore,Asia,2016,0.54 ,"Vision Plus Capital, GSR Ventures, ZhenFund"
Aiven,2.00 ,10/18/2021,Internet software ,Helsinki,Finland,Europe,2016,0.21 ,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Akulaku,2.00 ,2/15/2022,E-commerce ,Jakarta,Indonesia,Asia,2014,0.44 ,"DCM Ventures, IDG Capital, Siam Commercial Bank"
Apeel Sciences,2.00 ,5/26/2020,Other,Goleta,United States,North America,2012,0.64 ,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppsFlyer,2.00 ,1/21/2020,Mobile ,San Francisco,United States,North America,2011,0.29 ,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Avant,2.00 ,12/17/2012,Artificial intelligence,Chicago,United States,North America,2012,0.66 ,"RRE Ventures, Tiger Global, August Capital"
Aviatrix,2.00 ,9/8/2021,Internet software ,Santa Clara,United States,North America,2014,0.34 ,"Ignition Partners, Formation 8, CRV"
BlaBlaCar,2.00 ,9/16/2015,Auto ,Paris,France,Europe,2006,0.45 ,"Accel Partners, Index Ventures, Insight Venture Partners"
Black Sesame Technologies,2.00 ,9/22/2021,Artificial intelligence,Shanghai,China,Asia,2016,0.12 ,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
Bunq,2.00 ,6/18/2021,Fintech,Amsterdam,Netherlands,Europe,2013,0.28 ,Undisclosed
Calm,2.00 ,2/6/2019,Consumer ,San Francisco,United States,North America,2012,0.22 ,"Insight Venture Partners, TPG Growth, Sound Ventures"
Chipper Cash,2.00 ,5/31/2021,Fintech,San Francisco,United States,North America,2017,0.30 ,"Deciens Capital, Bezos Expeditions, 500 Startups"
Clearco,2.00 ,4/20/2021,Fintech,Toronto,Canada,North America,2015,0.43 ,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
ClickHouse,2.00 ,10/28/2021,Data management ,Portola Valley,United States,North America,2021,0.30 ,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Clip,2.00 ,6/10/2021,Fintech,Mexico City,Mexico,North America,2012,0.38 ,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
Cloudinary,2.00 ,2/15/2022,Internet software ,Santa Clara,United States,North America,2011,0.10 ,"Blackstone, Bessemer Venture Partners"
Deliverr,2.00 ,11/22/2021,Supply chain,San Francisco,United States,North America,2017,0.46 ,"8VC, Activant Capital, GLP Capital Partners"
Divvy Homes,2.00 ,8/13/2021,Fintech,San Francisco,United States,North America,2017,0.37 ,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Dremio,2.00 ,1/6/2021,Data management ,Santa Clara,United States,North America,2015,0.41 ,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Druva,2.00 ,6/20/2019,Data management ,Sunnyvale,United States,North America,2007,0.48 ,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
Everlaw,2.00 ,3/10/2020,Internet software ,Oakland,United States,North America,2010,0.30 ,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Exotec,2.00 ,1/17/2022,Hardware,Croix,France,Europe,2015,0.45 ,"Breega Capital, Iris Capital, 360 Capital Partners"
Formlabs,2.00 ,8/1/2018,Hardware,Somerville,United States,North America,2011,0.25 ,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Guoquan Shihui,2.00 ,3/17/2021,Consumer ,Shanghai,China,Asia,2017,0.52 ,"Tiantu Capital, CMB International Capital, Vision Knight Capital"
Hive,2.00 ,4/21/2021,Artificial intelligence,San Francisco,United States,North America,2013,0.12 ,"Tomales Bay Capital, Bain & Company, General Catalyst"
HuiMin,2.00 ,9/5/2016,E-commerce ,Beijing,China,Asia,2013,0.52 ,"Zheshang Venture Capital, GP Capital, Western Capital Management"
ISN,2.00 ,12/17/2020,Supply chain,Dallas,United States,North America,2001,0.38 ,Blackstone
Iterable,2.00 ,6/15/2021,Internet software ,San Francisco,United States,North America,2013,0.34 ,"CRV, Blue Cloud Ventures, Index Ventures"
Kajabi,2.00 ,5/4/2021,Internet software ,Irvine,United States,North America,2010,0.55 ,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Kaseya,2.00 ,3/27/2019,Cybersecurity,Miami,United States,North America,2000,0.55 ,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Keep,2.00 ,5/19/2020,Mobile ,Beijing,China,Asia,2014,0.61 ,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
KRY,2.00 ,4/27/2021,Health,Stockholm,Sweden,Europe,2014,0.57 ,"Index Ventures, Creandum, Accel"
Loggi,2.00 ,6/5/2019,Supply chain,Sao Paulo,Brazil,South America,2013,0.51 ,"Qualcomm Ventures, SoftBank Group, Monashees+"
LTK,2.00 ,11/22/2021,Internet software ,Dallas,United States,North America,2011,0.32 ,"SoftBank Group, Maverick Capital"
Lunar,2.00 ,7/12/2021,Fintech,Aarhus,Denmark,Europe,2015,0.45 ,"SEED Capital, Greyhound Capital, Socii Capital"
Mafengwo,2.00 ,5/23/2019,Travel,Beijing,China,Asia,2010,0.50 ,"Qiming Venture Partners, Capital Today, General Atlantic"
Magic Leap,2.00 ,10/21/2014,Hardware,Plantation,United States,North America,2010,3.00 ,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Misfits Market,2.00 ,4/21/2021,E-commerce ,Pennsauken,United States,North America,2018,0.53 ,"Accel, D1 Capita Partners, Greenoaks Capital Management"
Modern Treasury,2.00 ,10/6/2021,Fintech,San Francisco,United States,North America,2018,0.18 ,"Benchmark, Altimeter Capital, Quiet Capital"
MURAL,2.00 ,7/20/2021,Internet software ,San Francisco,United States,North America,2011,0.19 ,"Insight Partners, Tiger Global Management, Gradient Ventures"
Mynt,2.00 ,11/1/2021,Fintech,Taguig City,Philippines,Asia,2015,0.48 ,"Insight Partners, Warburg Pincus, Ayala Corporation"
Neo4j,2.00 ,6/17/2021,Data management ,San Mateo,United States,North America,2007,0.41 ,"Eight Roads Ventures, One Peak Partners, Creandum"
Netlify,2.00 ,11/17/2021,Internet software ,San Francisco,United States,North America,2014,0.20 ,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
OCSiAl,2.00 ,3/4/2019,Other,Leudelange,Luxembourg,Europe,2012,0.29 ,"A&NN, Rusnano"
Opay,2.00 ,8/23/2021,Fintech,Lagos,Nigeria,Africa,2018,0.57 ,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
Pipe,2.00 ,5/19/2021,Fintech,Miami,United States,North America,2019,0.57 ,"next47, MaC Venture Capital, FinVC"
Preferred Networks,2.00 ,5/17/2018,Artificial intelligence,Tokyo,Japan,Asia,2014,0.15 ,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Quora,2.00 ,4/21/2017,Internet software ,Mountain View,United States,North America,2009,0.23 ,"Y Combinator, Matrix Partners, Benchmark"
Redis Labs,2.00 ,8/25/2020,Data management ,Mountain View,United States,North America,2011,0.36 ,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
SmartNews,2.00 ,8/5/2019,Mobile ,Tokyo,Japan,Asia,2012,0.41 ,"Japan Post Capital, Globis Capital Partners, Atomico"
Spring Health,2.00 ,9/16/2021,Health,New York,United States,North America,2016,0.30 ,"Rethink Impact, Work-Bench, RRE Ventures"
StarkWare,2.00 ,11/17/2021,Cybersecurity,Netanya,Israel,Asia,2018,0.16 ,"Sequoia Capital, Paradigm, Pantera Capital"
SWORD Health,2.00 ,11/22/2021,Health,New York,United States,North America,2015,0.30 ,"Khosla Ventures, Green Innovations, Founders Fund"
Tier,2.00 ,10/25/2021,Travel,Berlin,Germany,Europe,2018,0.59 ,"Northzone Ventures, White Star Capital, Novator Partners"
Trendy Group International,2.00 ,2/13/2012,Consumer ,Kowloon,Hong Kong,Asia,1999,0.20 ,L Capital Partners
Unqork,2.00 ,10/6/2020,Fintech,New York,United States,North America,2017,0.37 ,"Blackrock, capitalG, World Lab Innovation"
VerbIT,2.00 ,6/8/2021,Artificial intelligence,New York,United States,North America,2016,0.43 ,"ClalTech, Vertex Ventures, Oryzn Capital"
Virta Health,2.00 ,12/2/2020,Health,San Francisco,United States,North America,2015,0.37 ,"Caffeinated Capital, Obvious Ventures, Venrock"
Xinchao Media,2.00 ,4/9/2018,Internet software ,Chengdu,China,Asia,2007,0.77 ,"JD.com, Baidu, Vision Plus Capital"
Xingyun Group,2.00 ,9/24/2020,E-commerce ,Shenzhen,China,Asia,2015,0.95 ,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
XtalPi,2.00 ,8/11/2021,Artificial intelligence,Shenzhen,China,Asia,2014,0.79 ,"Tencent Holdings, 5Y Capital, Sequoia Capital China"
Zilch,2.00 ,11/10/2021,Fintech,London,United Kingdom,Europe,2018,0.34 ,"Gauss Ventures, Ventura Capital, dmg ventures"
Dadi Cinema,3.00 ,5/11/2016,Other,Shenzhen,China,Asia,2006,0.15 ,Alibaba Pictures Group
Kurly,3.00 ,7/9/2021,Supply chain,Seoul,South Korea,Asia,2014,0.77 ,"Sequoia Capital China, DST Global, DST Global"
Moglix,3.00 ,5/17/2021,E-commerce ,Singapore,Singapore,Asia,2015,0.47 ,"Jungle Ventures, Accel, Venture Highway"
OpenAI,3.00 ,7/22/2019,Artificial intelligence,San Francisco,United States,North America,2015,1.00 ,Khosla Ventures
Upstox,3.00 ,11/29/2021,Fintech,Mumbai,India,Asia,2010,0.05 ,"Tiger Global Management, Kalaari Capital"
Vista Global,3.00 ,8/23/2017,Other,Dubai,United Arab Emirates,Asia,2004,0.42 ,Rhone Capital
Yixia,3.00 ,11/24/2015,Mobile ,Beijing,China,Asia,2011,0.78 ,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Automattic,3.00 ,5/27/2013,Internet software ,San Francisco,United States,North America,2005,0.86 ,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
OakNorth Bank,3.00 ,10/12/2017,Fintech,London,United Kingdom,Europe,2015,1.00 ,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Worldcoin,3.00 ,6/29/2021,Fintech,San Francisco,United States,North America,2019,0.13 ,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
Hive Box,3.00 ,1/23/2018,Supply chain,Shenzhen,China,Asia,2015,1.00 ,"Eastern Bell Capital, SF Holding Co, STO Express"
Trax,3.00 ,7/22/2019,Artificial intelligence,Singapore,Singapore,Asia,2010,1.00 ,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
MessageBird,3.00 ,10/8/2020,Mobile ,Amsterdam,Netherlands,Europe,2011,1.00 ,"Y Combinator, Atomico, Accel"
Cohesity,3.00 ,6/11/2018,Data management ,San Jose,United States,North America,2013,0.66 ,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Cybereason,3.00 ,8/6/2019,Cybersecurity,Boston,United States,North America,2012,0.71 ,"SoftBank Group, CRV, Spark Capital"
A24 Films,3.00 ,3/9/2022,Other,New York,United States,North America,2012,0.23 ,"Stripes Group, Neuberger Berman"
Acronis,3.00 ,9/18/2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,0.41 ,"Goldman Sachs, VebVentures, Insight Partners"
