Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
Boom Supersonic,1.00 ,12/16/2020,Other,Englewood,United States,North America,2014,0.24 ,"WRVI Capital, Caffeinated Capital, Y Combinator"
Bringg,1.00 ,6/16/2021,Supply chain,Tel Aviv,Israel,Asia,2013,0.19 ,"Salesforce Ventures, next47, Pereg Ventures"
C2FO,1.00 ,8/7/2019,Fintech,Leawood,United States,North America,2008,0.54 ,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
Cadence,1.00 ,12/14/2021,Health,New York,United States,North America,2020,0.14 ,"Thrive Capital, General Catalyst, Coatue Management"
CAIS,1.00 ,1/11/2022,Fintech,New York,United States,North America,2009,0.41 ,"Franklin Templeton, Motive Partners, Apollo Global Management"
Cameo,1.00 ,3/30/2021,Internet software ,Chicago,United States,North America,2016,0.17 ,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures"
Capsule,1.00 ,4/28/2021,Health,New York,United States,North America,2016,0.57 ,"Thrive Capital, Durable Capital Partners, G Squared"
CargoX,1.00 ,10/21/2021,Supply chain,Sao Paulo,Brazil,South America,2015,0.39 ,"Valor Capital Group, Lightrock, Softbank Group"
Carro,1.00 ,6/14/2021,E-commerce ,Singapore,Singapore,Asia,2015,0.60 ,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
Carson Group,1.00 ,7/14/2021,Fintech,Lincoln,United States,North America,2012,0.33 ,Bain Capital
CHEQ,1.00 ,2/22/2022,Cybersecurity,New York,United States,North America,2014,0.18 ,"Battery Ventures, Tiger Global Management, Hanaco Ventures"
Chronosphere,1.00 ,10/7/2021,Data management ,New York,United States,North America,2019,0.25 ,"Greylock Partners, Lux Capital, General Atlantic"
Cider,1.00 ,9/2/2021,E-commerce ,Hong Kong,Hong Kong,Asia,2020,0.14 ,"Andreessen Horowitz, DST Global, IDG Capital"
Clara,1.00 ,12/6/2021,Fintech,Mexico City,Mexico,North America,2020,0.11 ,"DST Global, General Catalyst, Monashees+"
Clearcover,1.00 ,4/13/2021,Fintech,Chicago,United States,North America,2016,0.31 ,"American Family Ventures, Cox Enterprises, OMERS Ventures"
CommerceIQ,1.00 ,3/21/2022,Artificial Intelligence,Palo Alto,United States,North America,2012,0.20 ,"Trinity Ventures, Madrona Venture Group, Shasta Ventures"
Contrast Security,1.00 ,11/9/2021,Cybersecurity,Los Altos,United States,North America,2014,0.27 ,"Acero Capital, General Catalyst, M12"
Darwinbox,1.00 ,1/25/2022,Internet software ,Hyderabad,India,Asia,2015,0.11 ,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners"
Dental Monitoring,1.00 ,10/21/2021,Health,Paris,France,Europe,2014,0.23 ,"Vitruvian Partners, Merieux Equity Partners, Straumann"
DianRong,1.00 ,8/2/2017,E-commerce ,Shanghai,China,Asia,2012,0.55 ,"Standard Chartered, FinSight Ventures, Affirma Capital"
Drata,1.00 ,11/8/2021,Cybersecurity,San Diego,United States,North America,2020,0.13 ,"Cowboy Ventures, Leaders Fund, GGV Capital"
DriveNets,1.00 ,1/27/2021,Internet software ,Ra'anana,Israel,Asia,2015,0.33 ,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners"
Dune Analytics,1.00 ,2/2/2022,Data management ,Oslo,Norway,Europe,2018,0.08 ,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners"
Dxy.cn,1.00 ,4/10/2018,Health,Hangzhou,China,Asia,2000,0.68 ,"Tencent Holdings, DCM Ventures"
EBANX,1.00 ,10/16/2019,Fintech,Curitiba,Brazil,South America,2012,0.46 ,"FTV Capital, Endeavor"
EcoFlow,1.00 ,6/10/2021,Hardware,Shenzhen,China,Asia,2017,0.11 ,"Delian Capital, China International Capital Corporation, Sequoia Capital China"
Electric,1.00 ,3/29/2022,Cybersecurity,New York,United States,North America,2016,0.21 ,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners"
Emerging Markets Property Group,1.00 ,4/28/2020,Other,Dubai,United Arab Emirates,Asia,2015,0.28 ,"OLX Group, KCK Group, EXOR Seeds"
Esusu,1.00 ,1/27/2022,Fintech,New York,United States,North America,2015,0.15 ,"Next Play Ventures, Zeal Capital Partners, SoftBank Group"
Evidation,1.00 ,3/22/2021,Health,San Mateo,United States,North America,2012,0.26 ,"B Capital Group,, GE Ventures, McKesson Ventures"
Expel,1.00 ,11/18/2021,Cybersecurity,Herndon,United States,North America,2016,0.26 ,"Paladin Capital Group, Greycroft, Scale Venture Partners"
Fabric,1.00 ,10/26/2021,Supply chain,New York,United States,North America,2015,0.29 ,"Innovation Endeavors, Aleph, Temasek"
Feedzai,1.00 ,3/24/2021,Artificial intelligence,San Mateo,United States,North America,2009,0.28 ,"Global Founders Capital, Shea Ventures, Greycroft"
Fever Labs,1.00 ,1/26/2022,Internet software ,New York,United States,North America,2012,0.30 ,"Accel, 14W, GS Growth"
Fiture,1.00 ,4/14/2021,Health,Chengdu,China,Asia,2019,0.39 ,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital"
FLASH,1.00 ,3/16/2022,Fintech,Austin,United States,North America,2011,0.31 ,"L Catterton, Trellis Partners, Vista Equity Partners"
Flash Express,1.00 ,2/1/2021,Supply chain,Bangkok,Thailand,Asia,2017,0.35 ,"SCB 10X, Krungsri Finnovate, eWTP Capital"
FlashEx,1.00 ,8/27/2018,Supply chain,Beijing,China,Asia,2014,0.36 ,"Prometheus Capital, Matrix Partners China, JD Capital Management"
Fractal Analytics,1.00 ,1/5/2022,Data management ,Mumbai,India,Asia,2000,0.69 ,"TPG Capital, Apax Partners, TA Associates"
Freshbooks,1.00 ,8/10/2021,Fintech,Toronto,Canada,North America,2004,0.16 ,"Accomplice, Oak Investment Partners, Georgian Partners"
FXiaoKe,1.00 ,7/2/2015,Mobile ,Beijing,China,Asia,2011,0.28 ,"IDG Capital, Northern Light Venture Capital, DCM Ventures"
